"COMMON.NAME","Concern.Status","IUCN"
"Ruby-cheeked Sunbird","Low","Least Concern"
"Gray-sided Bush Warbler","Low","Least Concern"
"Aberrant Bush Warbler","Low","Least Concern"
"Black Kite","Low","Least Concern"
"Scarlet Finch","Low","Least Concern"
"Gray-winged Blackbird","Low","Least Concern"
"Short-billed Minivet","Low","Least Concern"
"Golden-fronted Leafbird","Low","Least Concern"
"Plain Flowerpecker","Low","Least Concern"
"Common Green-Magpie","Low","Least Concern"
"Long-billed Thrush","Low","Least Concern"
"Plain Mountain-Finch","Low","Least Concern"
"Blue-bearded Bee-eater","Low","Least Concern"
"Scaly-breasted Munia","Low","Least Concern"
"Little Forktail","Low","Least Concern"
"Rufous-bellied Woodpecker","Low","Least Concern"
"Black-winged Kite","Low","Least Concern"
"Bluethroat","Low","Least Concern"
"Common Hill Myna","Low","Least Concern"
"Eurasian Marsh-Harrier","Low","Least Concern"
"Red-wattled Lapwing","Low","Least Concern"
"Yellow-bellied Prinia","Low","Least Concern"
"Ruddy Shelduck","Low","Least Concern"
"Asian Pied Starling","Low","Least Concern"
"Rosy Pipit","Low","Least Concern"
"Asian Koel","Low","Least Concern"
"Himalayan Buzzard","Low","Least Concern"
"Kalij Pheasant","Low","Least Concern"
"White-browed Scimitar-Babbler","Low","Least Concern"
"Paddyfield Pipit","Low","Least Concern"
"White-breasted Waterhen","Low","Least Concern"
"Speckled Wood-Pigeon","Low","Least Concern"
"Blyth's Pipit","Low","Least Concern"
"Western Yellow Wagtail","Low","Least Concern"
"Gray-headed Woodpecker","Low","Least Concern"
"Snowy-browed Flycatcher","Low","Least Concern"
"Golden Bush-Robin","Low","Least Concern"
"Crimson Sunbird","Low","Least Concern"
"Changeable Hawk-Eagle","Low","Least Concern"
"Pin-tailed Green-Pigeon","Low","Least Concern"
"White-collared Blackbird","Low","Least Concern"
"Greater Yellownape","Low","Least Concern"
"Mrs. Gould's Sunbird","Low","Least Concern"
"Large Woodshrike","Low","Least Concern"
"White-browed Piculet","Low","Least Concern"
"Common Buzzard","Low","Least Concern"
"House Sparrow","Low","Least Concern"
"Shikra","Low","Least Concern"
"Crested Kingfisher","Low","Least Concern"
"Dusky Warbler","Low","Least Concern"
"Gray Bushchat","Low","Least Concern"
"Pied Bushchat","Low","Least Concern"
"Red-billed Leiothrix","Low","Least Concern"
"Ultramarine Flycatcher","Low","Least Concern"
"Vernal Hanging-Parrot","Low","Least Concern"
