"COMMON.NAME","Bhatikhana wetlands JG","Joka Wetlands","Rabindra Sarovar (including Lion's Safari Park)","Alitakhali","Piyali Island Tourist Lodge","Farakka IBA Panchanandapur (count 1)","Jagannathpur Wetland 1","Jagannathpur Wetland 2","Ash Pond of Farakka Thermal Power Project","Rampara","Ahiron Wetland","Diara","Naya Bundh Wetland Complex (IBA)","Gajoldoba Barrage JG","Rajarhat Wetlands I","Sagardighi Ash Pond","Baruipur Marshes","Binod Dighi","Unnamed Road, Bayra, West Bengal, IN (24.446, 88.207)","Saheb Bandh","Ballavpur WLS Jheel 2","Ballavpur WLS Jheel 3","Ballavpur WLS Jheel 1","Tajpur (count 1)","Tajpur (count 2)","Jaypur","Bakreshwar Dam (count 1)","Nalban Bheri","Nabagram (count 1)","Nabagram (count 2)","Santragachi Jheel (Lake)","Bortibeel (count 1)","Bortibeel (count 2)","Bakreshwar Dam (count 2)","Kharibari","Purbasthali Bird Sanctuary PUB","Shyamkhola Birding Place","Bara Sagardighi Fish Farm","10 no spar teesta riverbed","Karjjana Wetland 1","Karjjana Wetland 2","Bosipota","Farakka IBA Panchanandapur (count 2)","Sundoriya Bill","Sahaspur","Kamalpur","Fulbari Grassland"
"Black-rumped Flameback","0","0","2","0","0","0","0","0","1","0","0","1","2","0","1","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Blue-throated Barbet","0","0","X","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","0","2","8","0","0","0","0","0","0","0","0"
"Common Tailorbird","0","0","X","0","0","0","0","0","0","0","0","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","2","1","3","2","1","0","1","0","0","1","0","0","0","0","0","0","0"
"House Crow","0","0","X","0","0","9","0","0","3","0","0","12","7","0","15","0","10","0","0","0","0","0","0","11","0","0","2","35","12","9","20","0","2","60","24","50","0","0","20","3","6","0","8","2","0","0","50"
"Indian Cormorant","0","0","790","0","0","0","0","0","0","0","0","0","10","0","1","0","50","0","0","0","0","0","0","0","0","0","0","36","0","0","3","0","0","0","4","20","4","19","0","0","0","0","1","0","0","0","0"
"Painted Stork","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Purple Sunbird","0","0","X","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"Common Redshank","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"Eurasian Wigeon","0","0","0","0","1","0","26","0","0","2","0","0","0","76","0","1","0","70","0","0","0","0","0","0","0","0","54","0","0","0","0","0","0","8","0","20","0","0","0","0","0","0","2","0","0","0","30"
"Great Egret","0","0","0","0","1","3","3","6","0","0","0","0","0","0","2","4","4","3","0","0","3","0","0","0","0","0","2","1","0","0","0","0","0","0","30","10","0","2","1","0","0","0","5","0","0","0","0"
