LOCALITY,LATITUDE,LONGITUDE,DISTRICT,ST_NM,COMMON.NAME,historical.status,season
Thane Creek/Estuary,19.1818146,72.9838665,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.1818237,72.9834471,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.2087102,72.9814841,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Jaikwadi Bird Sanctuary,19.4779,75.3656,Aurangabad,MAHARASHTRA,Greater Flamingo,N,Winter
Chilika Lake,19.700154,85.3071785,Puri,ODISHA,Black-tailed Godwit,N,Winter
Chilika Lake--Mangalajodi,19.896767,85.438225,Khordha,ODISHA,Black-tailed Godwit,N,Winter
Chilika Lake--Mangalajodi,19.9193545,85.4259504,Khordha,ODISHA,Black-tailed Godwit,N,Winter
Satkosia Gorge Sanctuary,20.3719496,85.8309827,Khordha,ODISHA,Indian Skimmer,N,Winter
Satkosia Gorge Sanctuary,20.4428256,85.7489157,Cuttack,ODISHA,Indian Skimmer,N,Passage/Summer
Satkosia Gorge Sanctuary,20.4446267,85.7455659,Cuttack,ODISHA,Indian Skimmer,N,Passage/Summer
Satkosia Gorge Sanctuary,20.4479442,85.7426527,Cuttack,ODISHA,Indian Skimmer,N,Passage/Summer
Satkosia Gorge Sanctuary,20.4493783,85.7479767,Cuttack,ODISHA,Indian Skimmer,N,Passage/Summer
Satkosia Gorge Sanctuary,20.477315,84.943619,Nayagarh,ODISHA,Indian Skimmer,N,Winter
Satkosia Gorge Sanctuary,20.4874986,84.8871098,Nayagarh,ODISHA,Indian Skimmer,N,Winter
Satkosia Gorge Sanctuary,20.487921,84.8794524,Nayagarh,ODISHA,Indian Skimmer,N,Winter
Satkosia Gorge Sanctuary,20.4889796,84.9115082,Nayagarh,ODISHA,Indian Skimmer,N,Winter
Satkosia Gorge Sanctuary,20.5445389,84.8320954,Nayagarh,ODISHA,Indian Skimmer,N,Passage/Summer
Satkosia Gorge Sanctuary,20.5794387,84.792011,Nayagarh,ODISHA,Indian Skimmer,N,Passage/Summer
Satkosia Gorge Sanctuary,20.5954846,84.7811227,Anugul,ODISHA,Indian Skimmer,N,Winter
Satkosia Gorge Sanctuary,20.5960881,84.7807401,Anugul,ODISHA,Indian Skimmer,N,Winter
Satkosia Gorge Sanctuary,20.5964553,84.7808379,Anugul,ODISHA,Indian Skimmer,N,Winter
Satkosia Gorge Sanctuary,20.6009,84.781341,Anugul,ODISHA,Indian Skimmer,N,Winter
Satkosia Gorge Sanctuary,20.6009721,84.7812366,Anugul,ODISHA,Indian Skimmer,N,Winter
Sodam Bhandhara,20.7189235,70.813086,Gir Somnath,GUJARAT,Greater Flamingo,N,Passage/Summer
Khodiyar Dam,21.3441833,71.0460091,Amreli,GUJARAT,Sociable Lapwing,N,Winter
Dhrafad Sichai Yojana Vishavadar,21.3451453,70.7257318,Junagadh,GUJARAT,Sociable Lapwing,N,Passage/Summer
Khodiyar Dam,21.3466252,71.0483408,Amreli,GUJARAT,Sociable Lapwing,N,Winter
Kantiyajal,21.4644916,72.6716638,Bharuch,GUJARAT,Greater Flamingo,N,Winter
Bakkhali Sea Beach,21.5589564,88.2665634,South Twenty Four Pargan*,WEST BENGAL,Great Knot,N,Passage/Summer
Fraserganj/Kargil Sea Beach,21.5709766,88.2432351,South Twenty Four Pargan*,WEST BENGAL,Great Knot,N,Passage/Summer
Fraserganj/Kargil Sea Beach,21.5715676,88.242858,South Twenty Four Pargan*,WEST BENGAL,Great Knot,N,Passage/Summer
Haathab Beach,21.5718478,72.2692519,Bhavnagar,GUJARAT,Lesser Flamingo,N,Winter
Fraserganj/Kargil Sea Beach,21.5734535,88.242303,South Twenty Four Pargan*,WEST BENGAL,Great Knot,N,Winter
Fraserganj/Kargil Sea Beach,21.5734535,88.242303,South Twenty Four Pargan*,WEST BENGAL,Great Knot,N,Passage/Summer
Jambudweep,21.573647,88.195096,South Twenty Four Pargan*,WEST BENGAL,Great Knot,N,Winter
Jambudweep,21.574602,88.197828,South Twenty Four Pargan*,WEST BENGAL,Great Knot,N,Winter
Mokarsagar Wetland Complex,21.5782225,69.747777,Porbandar,GUJARAT,Greater Flamingo,N,Passage/Summer
Mokarsagar Wetland Complex,21.5782225,69.747777,Porbandar,GUJARAT,Black-tailed Godwit,N,Winter
Mokarsagar Wetland Complex,21.5782225,69.747777,Porbandar,GUJARAT,Greater Flamingo,N,Winter
Mokarsagar Wetland Complex,21.5782225,69.747777,Porbandar,GUJARAT,Lesser Flamingo,N,Winter
Mokarsagar Wetland Complex,21.5782225,69.747777,Porbandar,GUJARAT,Little Stint,N,Winter
Mokarsagar Wetland Complex,21.5782225,69.747777,Porbandar,GUJARAT,Black-tailed Godwit,N,Passage/Summer
Mokarsagar Wetland Complex,21.5782225,69.747777,Porbandar,GUJARAT,Lesser Flamingo,N,Passage/Summer
Mokarsagar Wetland Complex,21.6205405,69.628644,Porbandar,GUJARAT,Lesser Flamingo,N,Passage/Summer
Mokarsagar Wetland Complex,21.62167,69.63785,Porbandar,GUJARAT,Lesser Flamingo,N,Passage/Summer
Mokarsagar Wetland Complex,21.6287368,69.6289873,Porbandar,GUJARAT,Lesser Flamingo,N,Passage/Summer
Mokarsagar Wetland Complex,21.6287368,69.6289873,Porbandar,GUJARAT,Lesser Flamingo,N,Winter
Mokarsagar Wetland Complex,21.6343724,69.7154188,Porbandar,GUJARAT,Lesser Flamingo,N,Winter
Mokarsagar Wetland Complex,21.6343724,69.7154188,Porbandar,GUJARAT,Common Pochard,N,Winter
Kuchhadi/Javar Wetlands,21.6497992,69.595685,Porbandar,GUJARAT,Greater Flamingo,N,Passage/Summer
Kuchhadi/Javar Wetlands,21.6497992,69.595685,Porbandar,GUJARAT,Lesser Flamingo,N,Winter
Kuchhadi/Javar Wetlands,21.6532295,69.5854712,Porbandar,GUJARAT,Lesser Flamingo,N,Winter
Kuchhadi/Javar Wetlands,21.6532295,69.5854712,Porbandar,GUJARAT,Greater Flamingo,N,Winter
Kuchhadi/Javar Wetlands,21.6618408,69.5791153,Porbandar,GUJARAT,Lesser Flamingo,N,Winter
Kuchhadi/Javar Wetlands,21.6774169,69.5663111,Porbandar,GUJARAT,Greater Flamingo,Y,Winter
Kuchhadi/Javar Wetlands,21.6900804,69.5543146,Porbandar,GUJARAT,Lesser Flamingo,N,Winter
